asset_type,parent_name,pos_x,pos_y,pos_z,block_num,trial_num,block_task,block_hand,target_loc,distractor_loc
Marker,all,0.3213368356227875,0.02097495086491108,0.2032569795846939,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.33107537031173706,0.020956745371222496,0.17297036945819855,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2913956344127655,0.02137412317097187,0.147865429520607,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.276705801486969,0.02085731364786625,0.18416176736354828,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.32133981585502624,0.020975125953555107,0.2032637745141983,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.3310770094394684,0.020959842950105667,0.17296577990055084,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2913955748081207,0.02137504145503044,0.1478693038225174,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.276705801486969,0.02085731364786625,0.18416176736354828,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.32133981585502624,0.020975125953555107,0.2032637745141983,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.3310770094394684,0.020959842950105667,0.17296577990055084,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2913955748081207,0.02137504145503044,0.1478693038225174,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2767055332660675,0.020858965814113617,0.18416239321231842,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.32133448123931885,0.020973635837435722,0.20326417684555054,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.3310758173465729,0.02094772458076477,0.17296794056892395,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.2913787364959717,0.021388009190559387,0.14791429042816162,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2767055332660675,0.020858965814113617,0.18416239321231842,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.32133448123931885,0.020973635837435722,0.20326417684555054,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.3310758173465729,0.02094772458076477,0.17296794056892395,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,all,0.2913787364959717,0.021388009190559387,0.14791429042816162,1,4,Backhand,RightHand,Centre-Target,Right-Distractor
Marker,square,0.27670711278915405,0.020860033109784126,0.1841728836297989,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.32133713364601135,0.020976703613996506,0.20326995849609375,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.33107495307922363,0.020959794521331787,0.17296917736530304,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.2913829982280731,0.02135579101741314,0.1478775143623352,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.27670711278915405,0.020860033109784126,0.1841728836297989,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.32133713364601135,0.020976703613996506,0.20326995849609375,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.33107495307922363,0.020959794521331787,0.17296917736530304,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.2913829982280731,0.02135579101741314,0.1478775143623352,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.2767094671726227,0.020859958603978157,0.18416371941566467,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.3213346302509308,0.020972201600670814,0.2032710313796997,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.3310770094394684,0.02095693163573742,0.17296357452869415,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.2913747727870941,0.021380450576543808,0.14790993928909302,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.2767094671726227,0.020859958603978157,0.18416371941566467,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.3213346302509308,0.020972201600670814,0.2032710313796997,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.3310770094394684,0.02095693163573742,0.17296357452869415,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,all,0.2913747727870941,0.021380450576543808,0.14790993928909302,1,5,Backhand,RightHand,Right-Target,Left-Distractor
Marker,square,0.2767084538936615,0.020859725773334503,0.1841633915901184,1,5,Backhand,RightHand,Right-Target,Left-Distractor
