asset_type ,asset_ID ,pos_x               ,pos_y                ,pos_z               ,rot_w                   ,rot_x                   ,rot_y                   ,rot_z              ,error                 ,tracking_validity ,block_num ,trial_num ,block_task ,block_hand ,target_loc    ,distractor_loc
RigidBody  ,       1 ,0.30512580275535583 ,0.021041976287961006 ,0.17706014215946197 ,-0.0004197359085083008  ,-0.00013356540875975043 ,-3.525197462295182e-5   ,0.9999998807907104 ,1.7472098988946527e-5 ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.30512359738349915 ,0.021044066175818443 ,0.17707237601280212 ,-0.0003609763225540519  ,-1.760039413056802e-5   ,-5.115900785312988e-5   ,1.0                ,1.2538373994175345e-5 ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.3051282465457916  ,0.021042896434664726 ,0.17706650495529175 ,-0.00034284486901015043 ,-9.749436867423356e-5   ,-6.01316278334707e-5    ,1.0                ,1.0531980478845071e-5 ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.30512359738349915 ,0.021047137677669525 ,0.17707324028015137 ,-0.0002789558202493936  ,3.1695781217422336e-5   ,1.3546891750593204e-5   ,1.0                ,1.5022986190160736e-5 ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.3051197826862335  ,0.021040210500359535 ,0.17708086967468262 ,-0.000409541156841442   ,0.00012105747009627521  ,0.00011107238242402673  ,0.9999998807907104 ,1.48700964928139e-5   ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.3051278591156006  ,0.02104354090988636  ,0.17706848680973053 ,-0.00042686364031396806 ,-8.946417801780626e-5   ,2.5774916139198467e-5   ,0.9999998807907104 ,1.3478502296493389e-5 ,                1 ,        1 ,        3 ,Backhand   ,RightHand  ,Left-Target   ,Right-Distractor
RigidBody  ,       1 ,0.30512115359306335 ,0.021043919026851654 ,0.1770775318145752  ,-0.0001776466378942132  ,7.635436486452818e-5    ,1.649449040996842e-5    ,1.0                ,1.589590283401776e-5  ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.30512478947639465 ,0.021044230088591576 ,0.17707805335521698 ,-0.00020091694022994488 ,5.136655818205327e-5    ,8.000492925930303e-7    ,1.0                ,1.5019455531728454e-5 ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.3051254451274872  ,0.021039268001914024 ,0.1770642101764679  ,-0.00030645690276287496 ,-9.551970288157463e-5   ,-3.715286584338173e-5   ,1.0                ,1.1021071259165183e-5 ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.3051287829875946  ,0.02104281075298786  ,0.17706459760665894 ,-0.00039125230978243053 ,-8.106298628263175e-5   ,-9.655923349782825e-5   ,1.0                ,1.4214026123227086e-5 ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.3051295280456543  ,0.021041829138994217 ,0.1770651489496231  ,-0.0003154703590553254  ,-8.634441473986953e-5   ,2.2029964384273626e-5   ,1.0                ,1.0528905477258377e-5 ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.30512359738349915 ,0.02104208804666996  ,0.1770770400762558  ,-0.00024035631213337183 ,4.478632035898045e-5    ,-0.0001026397367240861  ,1.0                ,1.630157930776477e-5  ,                1 ,        1 ,        4 ,Backhand   ,RightHand  ,Centre-Target ,Right-Distractor
RigidBody  ,       1 ,0.30512553453445435 ,0.021038077771663666 ,0.17707239091396332 ,-0.0005072997300885618  ,-8.12018242868362e-6    ,2.6251693270751275e-5   ,0.9999998807907104 ,1.2328128832450602e-5 ,                1 ,        1 ,        5 ,Backhand   ,RightHand  ,Right-Target  ,Left-Distractor
RigidBody  ,       1 ,0.3051239550113678  ,0.02104239910840988  ,0.17707696557044983 ,-0.0002661696926224977  ,6.180717173265293e-5    ,-3.421676592552103e-5   ,1.0                ,1.567649087519385e-5  ,                1 ,        1 ,        5 ,Backhand   ,RightHand  ,Right-Target  ,Left-Distractor
RigidBody  ,       1 ,0.30512481927871704 ,0.021040810272097588 ,0.17706824839115143 ,-0.00029572585481218994 ,-8.820317452773452e-5   ,-4.190326581010595e-5   ,1.0                ,1.1175165127497166e-5 ,                1 ,        1 ,        5 ,Backhand   ,RightHand  ,Right-Target  ,Left-Distractor
